match,gagnant
0,IA_TOURNOIS_2
1,NULL
2,IA_TOURNOIS_2
3,IA_TOURNOIS_1
4,IA_TOURNOIS_1
5,IA_TOURNOIS_1
6,IA_TOURNOIS_2
7,IA_TOURNOIS_1
8,IA_TOURNOIS_1
9,IA_TOURNOIS_2
10,IA_TOURNOIS_1
11,IA_TOURNOIS_2
12,IA_TOURNOIS_1
13,IA_TOURNOIS_1
14,IA_TOURNOIS_2
15,IA_TOURNOIS_1
16,IA_TOURNOIS_2
17,IA_TOURNOIS_2
18,IA_TOURNOIS_1
19,IA_TOURNOIS_1
20,IA_TOURNOIS_2
21,IA_TOURNOIS_2
22,IA_TOURNOIS_2
23,IA_TOURNOIS_1
24,IA_TOURNOIS_1
25,IA_TOURNOIS_1
26,IA_TOURNOIS_2
27,IA_TOURNOIS_2
28,IA_TOURNOIS_1
29,IA_TOURNOIS_1
30,IA_TOURNOIS_2
31,IA_TOURNOIS_1
32,IA_TOURNOIS_2
33,IA_TOURNOIS_2
34,NULL
35,IA_TOURNOIS_1
36,IA_TOURNOIS_2
37,IA_TOURNOIS_2
38,NULL
39,IA_TOURNOIS_1
40,IA_TOURNOIS_1
41,IA_TOURNOIS_1
42,IA_TOURNOIS_2
43,IA_TOURNOIS_1
44,IA_TOURNOIS_2
45,IA_TOURNOIS_2
46,IA_TOURNOIS_2
47,IA_TOURNOIS_2
48,IA_TOURNOIS_1
49,IA_TOURNOIS_2
50,IA_TOURNOIS_2
51,IA_TOURNOIS_1
52,IA_TOURNOIS_2
53,IA_TOURNOIS_1
54,IA_TOURNOIS_1
55,IA_TOURNOIS_1
56,IA_TOURNOIS_1
57,NULL
58,IA_TOURNOIS_1
59,NULL
60,IA_TOURNOIS_2
61,IA_TOURNOIS_2
62,IA_TOURNOIS_1
63,IA_TOURNOIS_1
64,IA_TOURNOIS_1
65,IA_TOURNOIS_1
66,IA_TOURNOIS_2
67,IA_TOURNOIS_1
68,IA_TOURNOIS_1
69,IA_TOURNOIS_1
70,IA_TOURNOIS_2
71,IA_TOURNOIS_1
72,IA_TOURNOIS_2
73,IA_TOURNOIS_1
74,IA_TOURNOIS_2
75,IA_TOURNOIS_2
76,IA_TOURNOIS_2
77,IA_TOURNOIS_1
78,IA_TOURNOIS_1
79,IA_TOURNOIS_1
80,IA_TOURNOIS_2
81,IA_TOURNOIS_2
82,IA_TOURNOIS_1
83,NULL
84,IA_TOURNOIS_2
85,IA_TOURNOIS_2
86,IA_TOURNOIS_2
87,IA_TOURNOIS_1
88,IA_TOURNOIS_1
89,IA_TOURNOIS_1
90,IA_TOURNOIS_2
91,IA_TOURNOIS_1
92,NULL
93,IA_TOURNOIS_1
94,IA_TOURNOIS_2
95,IA_TOURNOIS_2
96,IA_TOURNOIS_2
97,IA_TOURNOIS_2
98,IA_TOURNOIS_1
99,IA_TOURNOIS_2
